,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,81201.0,3.828742784415145,13.4,22.9,0.6,5.0,44.0,5.0,1.0,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,4.409265291349982,16.9,21.8,0.0,0.0,0
1,81202.0,3.828742784415145,7.4,25.1,0.0,1.0,44.0,9.0,2.0,4.0,22.0,44.0,25.0,1010.6,1007.8,4.251556310130164,4.409265291349982,17.2,24.3,0.0,0.0,0
2,81203.0,3.828742784415145,12.9,25.7,0.0,2.0,46.0,5.0,2.0,19.0,26.0,38.0,30.0,1007.6,1008.7,4.251556310130164,4.467539586252022,21.0,23.2,0.0,0.0,0
3,81204.0,3.828742784415145,9.2,28.0,0.0,17.0,24.0,12.0,3.0,11.0,9.0,45.0,16.0,1017.6,1012.8,4.251556310130164,4.409265291349982,18.1,26.5,0.0,1.0,0
4,81205.0,3.828742784415145,17.5,32.3,1.0,5.0,41.0,8.0,4.0,7.0,20.0,82.0,33.0,1010.8,1006.0,7.0,4.467539586252022,17.8,29.7,0.0,0.2,0
5,81206.0,3.828742784415145,14.6,29.7,0.2,1.0,56.0,5.0,5.0,19.0,24.0,55.0,23.0,1009.2,1005.4,4.251556310130164,4.409265291349982,20.6,28.9,0.0,0.0,0
6,81207.0,3.828742784415145,14.3,25.0,0.0,5.0,50.0,11.0,5.0,20.0,24.0,49.0,19.0,1009.6,1008.2,1.0,4.409265291349982,18.1,24.6,0.0,0.0,0
7,81208.0,3.828742784415145,7.7,26.7,0.0,5.0,35.0,6.0,5.0,6.0,17.0,48.0,19.0,1013.4,1010.1,4.251556310130164,4.409265291349982,16.3,25.5,0.0,0.0,0
8,81209.0,3.828742784415145,9.7,31.9,0.0,9.0,36.35717610519383,12.0,4.0,7.0,28.0,42.0,9.0,1008.9,1003.6,4.251556310130164,4.409265291349982,18.3,30.2,0.0,1.4,0
9,81210.0,3.828742784415145,13.1,30.1,1.4,5.0,28.0,14.0,6.0,15.0,11.0,58.0,27.0,1007.0,1005.7,4.251556310130164,4.409265291349982,20.1,28.2,0.0,0.0,0
10,81211.0,3.828742784415145,13.4,30.4,0.0,13.0,30.0,6.0,7.0,17.0,6.0,48.0,22.0,1011.8,1008.7,4.251556310130164,4.409265291349982,20.4,28.8,0.0,0.15118640757738505,0
11,81212.0,3.828742784415145,15.9,21.7,0.1506418485237484,15.0,31.0,17.0,8.0,15.0,13.0,89.0,91.0,1010.5,1004.2,8.0,4.467539586252022,15.9,17.0,0.0,0.15118640757738505,0
12,81213.0,3.828742784415145,15.9,18.6,0.1506418485237484,5.0,61.0,9.0,9.0,28.0,28.0,76.0,93.0,1018.1912260485319,1015.6396601376845,8.0,4.467539586252022,17.4,15.8,0.0,0.15118640757738505,0
13,81214.0,3.828742784415145,12.6,21.0,0.1506418485237484,11.0,44.0,5.0,10.0,24.0,20.0,65.0,43.0,1018.1912260485319,1015.6396601376845,4.251556310130164,4.467539586252022,15.8,19.8,0.0,0.0,0
14,81216.0,3.828742784415145,9.8,27.7,0.1506418485237484,1.0,50.0,16.0,1.0,12.686916653021123,22.0,50.0,28.0,1013.4,1010.3,4.545563347442761,4.409265291349982,17.3,26.2,0.0,0.0,0
15,81217.0,3.828742784415145,14.1,20.9,0.0,8.0,22.0,10.0,3.0,11.0,9.0,69.0,82.0,1012.2,1010.4,8.0,4.467539586252022,17.2,18.1,0.0,0.15118640757738505,0
16,81218.0,3.828742784415145,13.5,22.9,0.1506418485237484,5.0,36.35717610519383,13.0,1.0,6.0,20.0,80.0,65.0,1005.8,1015.6396601376845,8.0,4.467539586252022,18.0,21.5,0.0,0.15118640757738505,0
17,81219.0,3.828742784415145,11.2,22.5,0.1506418485237484,6.0,43.0,2.0,11.0,24.0,17.0,47.0,32.0,1009.4,1009.7,4.251556310130164,4.467539586252022,15.5,21.0,0.0,0.0,0
18,81220.0,3.828742784415145,9.8,25.6,0.0,6.0,26.0,12.0,9.0,17.0,6.0,45.0,26.0,1019.2,1017.1,4.251556310130164,4.409265291349982,15.8,23.2,0.0,0.0,0
19,81221.0,3.828742784415145,11.5,29.3,0.0,14.0,24.0,12.0,12.0,9.0,9.0,56.0,28.0,1019.3,1014.8,4.251556310130164,4.409265291349982,19.1,27.3,0.0,0.0,0
20,81222.0,3.828742784415145,17.1,33.0,0.0,17.0,43.0,17.0,13.0,17.0,22.0,38.0,28.0,1013.6,1008.1,4.251556310130164,4.467539586252022,24.5,31.6,0.0,0.0,0
21,81223.0,3.828742784415145,20.5,31.8,0.0,1.0,41.0,5.0,5.0,19.0,20.0,54.0,24.0,1007.8,1005.7,4.251556310130164,4.409265291349982,23.8,30.8,0.0,0.0,0
22,81224.0,3.828742784415145,15.3,30.9,0.0,13.0,33.0,7.0,4.0,6.0,13.0,55.0,23.0,1011.0,1008.2,5.0,4.409265291349982,20.9,29.0,0.0,0.0,0
23,81225.0,3.828742784415145,12.6,32.4,0.0,5.0,43.0,3.0,5.0,4.0,19.0,49.0,17.0,1012.9,1010.1,4.251556310130164,4.409265291349982,21.5,31.2,0.0,0.0,0
24,81226.0,3.828742784415145,16.2,33.9,0.0,2.0,35.0,12.0,2.0,9.0,13.0,45.0,19.0,1010.9,1007.6,4.251556310130164,4.467539586252022,23.2,33.0,0.0,0.0,0
25,81227.0,3.828742784415145,16.9,33.0,0.0,2.0,57.0,16.0,5.0,0.0,26.0,41.0,28.0,1006.8,1003.6,4.251556310130164,4.467539586252022,26.6,31.2,0.0,0.0,0
26,81228.0,3.828742784415145,20.1,32.7,0.0,1.0,48.0,13.0,1.0,13.0,30.0,56.0,15.0,1018.1912260485319,1015.6396601376845,4.251556310130164,4.409265291349982,24.6,32.1,0.0,0.0,0
27,81229.0,3.828742784415145,19.7,27.2,0.0,1.0,46.0,4.0,2.0,19.0,30.0,49.0,22.0,1018.1912260485319,1004.2,4.251556310130164,4.409265291349982,21.6,26.1,0.0,1.2,0
28,81230.0,3.828742784415145,12.5,24.2,1.2,1.0,50.0,2.0,11.0,11.0,22.0,78.0,70.0,1005.6,1003.4,8.0,4.467539586252022,12.5,18.2,0.0,0.8,0
29,81231.0,3.828742784415145,12.0,24.4,0.8,5.0,39.0,1.0,1.0,17.0,17.0,48.0,28.0,1006.1,1005.1,1.0,4.409265291349982,16.9,22.7,0.0,0.0,0
30,90101.0,3.828742784415145,11.3,26.5,0.0,1.0,56.0,5.0,1.0,19.0,31.0,46.0,26.0,1018.1912260485319,1003.2,4.251556310130164,4.409265291349982,19.7,25.7,0.0,0.0,0
31,90102.0,3.828742784415145,9.6,23.9,0.0,5.0,41.0,2.0,10.0,19.0,11.0,44.0,22.0,1014.4,1013.1,4.251556310130164,4.409265291349982,14.9,22.1,0.0,0.0,0
